,date_0days,cases_0days,deaths_0days,date_90days,cases_90days,deaths_90days,fips
0,2020-01-21,1,0,2020-04-20,2162,96,53061.0
1,2020-01-24,1,0,2020-04-23,25811,1142,17031.0
2,2020-01-25,1,0,2020-04-24,1845,36,6059.0
3,2020-01-26,1,0,2020-04-25,3234,121,4013.0
4,2020-01-26,1,0,2020-04-25,19107,895,6037.0
5,2020-01-31,1,0,2020-04-30,2163,112,6085.0
6,2020-02-01,1,0,2020-05-01,13295,550,25025.0
7,2020-02-02,2,0,2020-05-02,1552,29,6075.0
8,2020-02-05,1,0,2020-05-05,443,22,55025.0
9,2020-02-10,1,0,2020-05-10,4989,194,6073.0
10,2020-02-12,1,0,2020-05-12,1942,57,48029.0
11,2020-02-17,10,0,2020-05-17,2428,24,31055.0
12,2020-02-20,1,0,2020-05-20,88,0,6023.0
13,2020-02-21,1,0,2020-05-21,1265,57,6067.0
14,2020-02-24,4,0,2020-05-22,454,31,53063.0
15,2020-02-24,1,0,2020-05-22,460,20,6095.0
16,2020-02-25,1,0,2020-05-22,4308,65,49035.0
17,2020-02-26,1,0,2020-05-22,467,4,6097.0
18,2020-02-26,1,0,2020-05-22,97,3,6055.0
19,2020-02-26,1,0,2020-05-22,369,14,6041.0
20,2020-02-28,1,0,2020-05-22,7699,544,53033.0
21,2020-02-28,1,0,2020-05-22,669,17,41067.0
22,2020-03-01,1,0,2020-05-22,946,90,12081.0
23,2020-03-01,1,0,2020-05-22,1790,70,12057.0
24,2020-03-01,1,0,2020-05-22,2729,90,6001.0
25,2020-03-02,1,0,2020-05-22,7724,771,25021.0
26,2020-03-02,1,0,2020-05-22,68,1,33009.0
27,2020-03-02,1,0,2020-05-22,106,2,53071.0
28,2020-03-02,2,0,2020-05-22,3931,196,13121.0
29,2020-03-02,1,0,2020-05-22,184,9,6061.0
30,2020-03-02,1,0,2020-05-22,1791,76,6081.0
